0	35 64 93 141 165 267 312 350 360 364 435 487 585 614 617 630 674 683 718 770 834 929 930 932 974 984 1014 1044 1046 1076 1101 1108 1115 1134 1148 1169 1327 1402 1428 1440 1463 1519 1534 1536 1562 1581 1635 1676 1698 1717 1919 1939 1951 2012 2059 2073 2104 2105 2361 2394 2402 2433 2436 2443 2546 2548 2591 2675 2679 2685 2703 2748 2758 2762 2892 2894 2907 2933 2944 2952 2960 3206 3252 3303 3313 3327 3387 3476 3602 3644
1	14 76 89 139 142 217 229 423 483 570 595 603 609 613 637 714 763 789 800 815 856 858 908 993 1004 1129 1167 1198 1199 1209 1249 1325 1342 1349 1361 1382 1426 1430 1459 1476 1486 1493 1512 1528 1567 1599 1618 1624 1671 1739 1743 1747 1769 1811 1895 1917 1982 1990 2016 2052 2069 2084 2168 2203 2251 2269 2299 2365 2500 2526 2556 2596 2615 2616 2648 2707 2715 2776 2794 2811 2840 2845 2975 2999 3064 3080 3147 3173 3218 3243 3292 3326 3346 3357 3385 3511 3525 3549 3587 3617
2	60 191 226 276 320 443 548 611 664 728 754 788 828 848 877 923 966 1015 1016 1095 1113 1128 1202 1220 1302 1311 1419 1466 1521 1805 1824 1858 1869 1934 1967 2060 2063 2076 2128 2142 2249 2273 2303 2309 2322 2348 2366 2417 2439 2460 2477 2498 2572 2604 2610 2617 2714 2721 2736 2759 2761 2788 2831 2941 2957 2993 2998 3071 3075 3120 3167 3204 3234 3244 3282 3333 3434 3461 3556
3	59 97 239 329 384 390 434 445 447 482 620 760 802 829 861 863 919 968 1047 1055 1060 1065 1082 1097 1104 1231 1335 1372 1404 1405 1510 1531 1542 1547 1552 1582 1644 1681 1719 1831 1899 1935 1948 1961 1974 2051 2118 2133 2258 2274 2278 2321 2362 2496 2537 2588 2637 2713 2841 3030 3127 3133 3309 3342 3343 3348 3378 3411 3455 3495 3517 3695 3709 3713
4	100 106 291 528 561 575 722 731 795 866 876 973 1083 1121 1130 1164 1252 1270 1450 1474 1561 1577 1647 1687 1718 1737 1837 1904 1911 1946 1984 1988 1997 2017 2023 2037 2055 2061 2137 2198 2388 2475 2542 2567 2597 2640 2792 2843 2867 2920 3016 3035 3049 3077 3091 3096 3188 3253 3261 3311 3369 3506 3590 3670 3676 3712
5	30 42 46 98 107 152 190 199 218 243 247 248 415 493 606 657 747 819 854 862 1001 1005 1028 1265 1268 1283 1313 1322 1351 1359 1363 1475 1518 1520 1522 1584 1616 1627 1663 1670 1786 1849 1872 2003 2036 2125 2138 2181 2196 2493 2501 2543 2549 2562 2632 2660 2753 2766 2769 2798 2852 2879 2900 2912 2943 2973 3014 3017 3024 3105 3231 3319 3338 3353 3553 3603 3619 3640 3647
6	63 72 102 132 146 343 512 538 675 681 751 896 907 1177 1191 1246 1352 1380 1494 1570 1596 1626 1645 1841 1851 1882 1897 1932 1959 2031 2083 2090 2140 2201 2227 2247 2272 2428 2490 2517 2539 2614 2639 2666 2752 2770 2821 2882 2909 2919 2951 3018 3158 3399 3427 3464 3526 3548 3589 3622 3626 3643
7	80 112 127 143 183 198 207 222 242 273 277 292 302 325 377 381 453 479 486 552 559 581 608 623 628 641 658 669 672 688 691 699 719 746 769 868 893 935 937 971 1041 1072 1126 1160 1219 1225 1227 1271 1328 1341 1362 1399 1427 1452 1480 1524 1574 1587 1633 1657 1736 1745 1913 1947 1954 1969 1999 2001 2011 2045 2102 2131 2173 2230 2240 2294 2301 2308 2386 2406 2464 2491 2522 2606 2628 2665 2684 2695 2797 2903 2908 2974 3009 3154 3181 3205 3233 3271 3302 3335 3359 3368 3398 3416 3463 3486 3529 3551 3592 3648 3684 3688 3689
8	108 115 129 228 245 307 337 358 380 452 485 643 730 779 839 840 880 906 1020 1146 1159 1223 1241 1299 1366 1376 1548 1611 1667 1694 1728 1827 1962 2095 2149 2214 2354 2369 2391 2463 2564 2641 2732 2817 2832 2873 2936 3058 3089 3124 3153 3162 3195 3263 3267 3293 3312 3391 3418 3492 3497 3522 3616 3696
9	12 31 48 109 182 227 249 258 303 351 474 480 517 573 583 635 671 689 706 707 711 817 917 921 947 976 979 1112 1139 1142 1222 1326 1346 1384 1481 1490 1506 1600 1630 1650 1659 1666 1819 1833 1840 1980 2009 2179 2180 2192 2212 2217 2222 2244 2248 2306 2324 2367 2444 2554 2566 2644 2673 2677 2694 2733 2746 2747 2775 2780 2801 2827 2842 2849 2884 2904 2986 2996 3070 3165 3172 3229 3238 3281 3301 3310 3334 3340 3408 3460 3483 3627 3654 3702
10	49 65 204 332 348 367 369 378 478 484 535 612 615 618 639 708 732 748 837 842 895 914 952 959 961 967 1037 1350 1356 1358 1406 1515 1638 1686 1748 1781 1797 1836 1876 1889 1930 1998 2062 2089 2092 2127 2129 2250 2312 2345 2452 2478 2519 2544 2599 2603 2622 2656 2688 2717 2791 2806 2813 2883 2916 2935 2968 3001 3019 3052 3209 3284 3322 3401 3405 3479 3580 3581 3588 3649 3675 3677
11	169 237 438 441 451 463 634 704 709 761 889 911 1099 1303 1344 1353 1371 1397 1433 1614 1764 1801 1950 1979 1996 2085 2111 2257 2310 2334 2476 2561 2630 2649 2726 2760 2793 2819 2860 2939 2945 2980 3056 3149 3179 3248 3275 3403 3423 3430 3442 3480 3574
12	32 94 101 120 160 257 341 344 475 555 644 656 845 926 934 1086 1149 1226 1257 1330 1396 1411 1482 1535 1680 1706 1730 1731 1756 1765 1798 1818 1835 1886 1956 2064 2157 2270 2283 2347 2525 2612 2785 2850 3036 3203 3390 3445 3542 3630 3697 3704
13	33 184 203 265 271 376 413 558 652 736 757 766 857 905 962 995 1006 1052 1059 1138 1141 1158 1214 1215 1307 1425 1485 1586 1649 1665 1690 1732 1744 1891 1921 2024 2058 2094 2162 2286 2338 2351 2352 2364 2396 2401 2504 2629 2681 2739 2872 2890 2902 2918 3011 3072 3079 3180 3330 3350 3374 3471 3532 3536 3634 3691 3718
14	110 130 173 186 270 284 293 382 391 418 420 448 465 467 530 550 598 697 721 753 759 797 928 951 988 998 1033 1062 1098 1120 1152 1250 1263 1266 1294 1309 1316 1470 1473 1484 1487 1513 1530 1569 1610 1648 1712 1714 1813 1845 1850 1888 1914 1960 2065 2116 2132 2154 2155 2302 2314 2359 2400 2410 2422 2440 2453 2484 2488 2495 2545 2605 2708 2720 2738 2744 2784 2829 2870 2880 2913 2966 3007 3047 3131 3174 3184 3323 3377 3426 3457 3458 3514 3520 3579 3599 3653 3711
15	24 238 299 338 363 417 455 477 511 515 534 578 667 729 784 1078 1315 1319 1398 1432 1517 1720 1866 2018 2153 2375 2467 2627 2662 2782 2836 2844 3034 3101 3242 3317 3329 3422 3451 3473 3585 3594 3650 3666 3699
16	54 75 135 219 225 310 437 491 579 659 673 687 715 768 774 814 826 955 970 972 994 1000 1145 1205 1235 1296 1312 1375 1422 1431 1438 1504 1566 1606 1654 1673 1675 1700 1804 1823 1842 1877 1881 1943 2000 2014 2028 2050 2053 2147 2219 2264 2281 2318 2413 2427 2442 2528 2547 2624 2768 2807 2830 2864 2889 2893 2938 2949 2959 3031 3214 3235 3269 3270 3308 3320 3339 3552 3624 3698 3700 3715
17	0 7 47 137 153 158 177 202 278 316 318 324 392 461 508 532 631 843 922 1182 1201 1314 1329 1360 1378 1394 1443 1477 1576 1597 1598 1613 1623 1625 1656 1702 2087 2122 2466 2578 2585 2661 2683 2705 2773 2833 3117 3140 3220 3306 3396 3397 3513 3568 3584 3604
18	8 185 308 352 409 560 624 710 717 744 849 873 894 958 1043 1228 1387 1444 1550 1632 1669 1751 1753 1759 1761 1783 1821 1856 1898 1937 2038 2098 2103 2106 2112 2119 2177 2191 2206 2236 2256 2268 2304 2355 2462 2479 2511 2595 2690 2718 2754 2835 2997 3255 3295 3297 3314 3372 3395 3407 3429 3454 3482 3607 3610 3631 3687
19	41 79 168 180 188 197 252 255 288 333 334 339 346 379 394 454 554 590 593 597 665 678 791 860 901 1026 1075 1117 1168 1232 1274 1295 1317 1413 1418 1441 1617 1729 1809 1810 1817 1860 1902 1910 1923 1926 1942 1981 2088 2100 2267 2315 2326 2337 2339 2458 2553 2565 2750 2756 2783 2914 2930 3010 3025 3092 3144 3155 3213 3388 3392 3503 3570 3598 3638 3642
20	18 90 111 211 264 314 496 502 676 695 764 807 822 869 878 915 1050 1051 1079 1091 1247 1306 1331 1357 1414 1456 1549 1655 1682 1688 1697 1887 1901 1906 1925 1994 2032 2158 2167 2169 2424 2594 2598 2618 2672 2693 2779 2809 2888 3081 3106 3122 3217 3432 3557 3562 3628 3652 3679
21	45 55 134 174 187 205 209 235 246 290 294 304 317 362 373 393 411 422 436 542 599 647 660 810 820 835 836 864 875 950 953 991 1080 1089 1090 1143 1207 1213 1233 1255 1451 1461 1468 1479 1556 1559 1605 1629 1664 1677 1711 1773 1825 1863 1864 1867 1920 1924 1945 1953 2007 2068 2096 2151 2218 2291 2296 2328 2358 2571 2667 2687 2701 2725 2749 2781 2823 2899 3082 3094 3116 3121 3136 3141 3192 3201 3202 3289 3328 3347 3406 3419 3446 3467 3487 3488 3535 3659 3661
